year,borough,zip,complaints,pop,complaints_norm,median_income,pct_below_poverty
2020,MANHATTAN,10001,289,25026,1154.799009,96787,11.64450455
2020,MANHATTAN,10002,1067,74363,1434.853354,35607,28.8635691
2020,MANHATTAN,10003,824,54671,1507.1976,129981,7.623817474
2020,MANHATTAN,10004,8,3310,241.6918429,204949,2.469813392
2020,MANHATTAN,10005,3,8664,34.62603878,184681,6.194880619
2020,MANHATTAN,10006,6,3260,184.0490798,185268,6.791827719
2020,MANHATTAN,10007,11,7566,145.3872588,250001,2.755102041
2020,MANHATTAN,10009,1052,58267,1805.481662,68220,23.16732525
2020,MANHATTAN,10010,369,34763,1061.473406,139188,9.6127038
2020,MANHATTAN,10011,441,50228,877.9963367,136208,9.348392702
2020,MANHATTAN,10012,315,23034,1367.543631,110490,11.50787339
2020,MANHATTAN,10013,337,28657,1175.977946,130675,10.50919148
2020,MANHATTAN,10014,417,29071,1434.419181,136154,5.910496528
2020,MANHATTAN,10016,585,52912,1105.609314,124647,7.226340286
2020,MANHATTAN,10017,279,16065,1736.694678,130417,5.244471495
2020,MANHATTAN,10018,97,8135,1192.378611,136360,9.187688035
2020,MANHATTAN,10019,870,45521,1911.205817,101651,12.42867593
2020,MANHATTAN,10021,203,42253,480.4392588,130968,7.552979533
2020,MANHATTAN,10022,242,31574,766.453411,138661,5.990988485
2020,MANHATTAN,10023,418,62228,671.72334,137347,7.802783536
2020,MANHATTAN,10024,697,60714,1148.005402,137126,8.013864818
2020,MANHATTAN,10025,1888,92162,2048.566654,99067,15.35035334
2020,MANHATTAN,10026,1263,38937,3243.701364,64716,20.39447989
2020,MANHATTAN,10027,2145,64728,3313.86726,57010,22.14390602
2020,MANHATTAN,10028,432,47962,900.7130645,131013,6.034275647
2020,MANHATTAN,10029,1655,74617,2217.993219,33801,32.29156741
2020,MANHATTAN,10030,1308,30996,4219.899342,45555,24.53772334
2020,MANHATTAN,10031,2918,60280,4840.743198,55721,22.94287152
2020,MANHATTAN,10032,3004,59527,5046.44951,53690,20.72063812
2020,MANHATTAN,10033,3476,58648,5926.885827,66902,16.25780893
2020,MANHATTAN,10034,2897,41933,6908.639973,63556,17.3449981
2020,MANHATTAN,10035,1128,36999,3048.731047,28408,36.5807327
2020,MANHATTAN,10036,398,28231,1409.79774,97720,14.04484716
2020,MANHATTAN,10037,690,19177,3598.060176,50686,22.15984485
2020,MANHATTAN,10038,80,24205,330.5102252,95640,20.08333333
2020,MANHATTAN,10039,1206,27090,4451.827243,41363,24.26457789
2020,MANHATTAN,10040,2230,45197,4933.955794,53199,21.72670807
2020,MANHATTAN,10044,26,12770,203.6021926,112658,7.489597781
2020,MANHATTAN,10065,327,32270,1013.32507,115519,6.047873695
2020,MANHATTAN,10069,3,6504,46.12546125,130556,18.02962009
2020,MANHATTAN,10075,206,26121,788.6374947,102941,8.472049689
2020,MANHATTAN,10128,310,57993,534.5472729,117926,7.879318473
2020,MANHATTAN,10162,1,1240,80.64516129,96555,0
2020,MANHATTAN,10280,4,9372,42.68032437,170385,4.973474801
2020,MANHATTAN,10282,1,6086,16.43115347,250001,3.521408563
2020,STATEN ISLAND,10301,463,38001,1218.38899,70065,17.40633209
2020,STATEN ISLAND,10302,70,17942,390.1460261,72394,15.73052491
2020,STATEN ISLAND,10303,165,27164,607.4215874,70315,19.61130742
2020,STATEN ISLAND,10304,379,42133,899.532433,64394,19.46677385
2020,STATEN ISLAND,10305,105,42968,244.3679017,77136,10.53384485
2020,STATEN ISLAND,10306,116,54318,213.5572002,83309,10.43442956
2020,STATEN ISLAND,10307,15,15053,99.64791072,108808,5.623520126
2020,STATEN ISLAND,10308,14,28901,48.44123041,110478,4.616886286
2020,STATEN ISLAND,10309,23,33896,67.85461411,102730,10.38297872
2020,STATEN ISLAND,10310,98,24168,405.4948692,86895,14.76146578
2020,STATEN ISLAND,10312,42,61114,68.72402396,96785,7.362486379
2020,STATEN ISLAND,10314,163,89938,181.2359626,90306,9.600484648
2020,BRONX,10451,2124,49423,4297.594238,32598,33.75846557
2020,BRONX,10452,4424,74379,5947.915406,31351,37.36397957
2020,BRONX,10453,4187,78858,5309.543737,31778,36.38553337
2020,BRONX,10454,875,37807,2314.386225,23337,45.93678627
2020,BRONX,10455,1818,40300,4511.166253,29439,36.05153109
2020,BRONX,10456,3404,90479,3762.198963,31645,37.42885306
2020,BRONX,10457,6797,74679,9101.621607,32378,35.84021699
2020,BRONX,10458,4701,85893,5473.08861,37886,32.73297335
2020,BRONX,10459,1900,48391,3926.349941,31896,32.90538164
2020,BRONX,10460,2585,57514,4494.557847,28831,37.2303582
2020,BRONX,10461,1280,51081,2505.824083,60802,14.93567618
2020,BRONX,10462,4453,75441,5902.625893,57266,17.10085918
2020,BRONX,10463,2462,70236,3505.324905,60397,16.43947101
2020,BRONX,10464,47,4322,1087.459509,101935,6.189967983
2020,BRONX,10465,215,45066,477.0780633,74889,16.62945044
2020,BRONX,10466,1960,74519,2630.201694,58405,20.8524931
2020,BRONX,10467,5006,100867,4962.971041,40639,25.3334394
2020,BRONX,10468,4723,78778,5995.328645,37777,30.38228629
2020,BRONX,10469,1094,72550,1507.925569,67190,15.92239797
2020,BRONX,10470,522,15500,3367.741935,64643,11.05643045
2020,BRONX,10471,307,22577,1359.790938,93657,8.354372275
2020,BRONX,10472,2279,67989,3352.012826,36038,31.74024571
2020,BRONX,10473,1411,59627,2366.377648,47856,24.18869644
2020,BRONX,10474,494,11579,4266.344244,28419,42.01369082
2020,BRONX,10475,77,43791,175.8352173,53819,11.66032274
2020,QUEENS,11001,1,26883,3.719822936,101634,3.423794801
2020,QUEENS,11004,12,15297,78.44675427,97845,8.423460899
2020,QUEENS,11040,1,40782,2.452062184,101434,4.121425294
2020,QUEENS,11101,323,32537,992.7159849,89525,16.26647047
2020,QUEENS,11102,407,28359,1435.170493,81462,13.63425926
2020,QUEENS,11103,481,35419,1358.028177,81677,9.868378812
2020,QUEENS,11104,584,25037,2332.547829,75772,9.20131194
2020,QUEENS,11105,355,37452,947.879953,86516,9.074243813
2020,QUEENS,11106,613,37094,1652.558365,71865,12.77172312
2020,QUEENS,11109,0,6127,0,169425,1.188332733
2020,BROOKLYN,11201,298,64798,459.8907374,139697,10.59052696
2020,BROOKLYN,11203,2020,77589,2603.461831,57707,14.80392492
2020,BROOKLYN,11204,735,75840,969.1455696,54984,18.81802721
2020,BROOKLYN,11205,395,47866,825.220407,62952,23.99427856
2020,BROOKLYN,11206,722,87599,824.210322,43065,31.10292483
2020,BROOKLYN,11207,1561,90867,1717.895386,42276,29.05615995
2020,BROOKLYN,11208,1381,102626,1345.662892,45946,25.26478119
2020,BROOKLYN,11209,2368,68368,3463.608706,79524,11.24854382
2020,BROOKLYN,11210,1272,62423,2037.710459,70776,11.48231202
2020,BROOKLYN,11211,843,104561,806.2279435,90871,17.58653634
2020,BROOKLYN,11212,2166,74037,2925.564245,29385,35.35424744
2020,BROOKLYN,11213,2290,67382,3398.533733,48318,21.70830648
2020,BROOKLYN,11214,1540,90372,1704.067632,57639,17.4385976
2020,BROOKLYN,11215,525,69995,750.0535753,144330,6.756286132
2020,BROOKLYN,11216,1534,59567,2575.251398,77343,15.2652206
2020,BROOKLYN,11217,304,42461,715.9511081,122598,13.19589843
2020,BROOKLYN,11218,1270,73280,1733.078603,78249,14.21943773
2020,BROOKLYN,11219,685,87812,780.0756161,41907,30.26266181
2020,BROOKLYN,11220,1436,90657,1583.992411,55119,23.42274408
2020,BROOKLYN,11221,1542,85582,1801.780748,65548,21.5411135
2020,BROOKLYN,11222,371,36710,1010.623808,96435,10.69617078
2020,BROOKLYN,11223,703,80500,873.2919255,56908,20.56371576
2020,BROOKLYN,11224,270,45587,592.2741132,35776,31.18513906
2020,BROOKLYN,11225,3403,56072,6068.982736,65200,13.73619556
2020,BROOKLYN,11226,5480,96332,5688.660051,60896,15.28959795
2020,BROOKLYN,11228,177,43878,403.3912211,76278,11.26478382
2020,BROOKLYN,11229,820,81909,1001.110989,66332,16.00373002
2020,BROOKLYN,11230,1805,87188,2070.239024,57770,20.63095924
2020,BROOKLYN,11231,490,37796,1296.433485,108525,17.06886775
2020,BROOKLYN,11232,550,26501,2075.393381,74072,15.30886303
2020,BROOKLYN,11233,1923,79796,2409.895233,48278,25.6797963
2020,BROOKLYN,11234,440,90372,486.8764662,84116,8.601483228
2020,BROOKLYN,11235,1294,76921,1682.245421,56308,19.53403915
2020,BROOKLYN,11236,713,98821,721.5065624,74015,12.66682345
2020,BROOKLYN,11237,866,46772,1851.535106,57375,22.19985043
2020,BROOKLYN,11238,1333,55102,2419.14994,100568,12.18802814
2020,BROOKLYN,11239,137,12832,1067.643392,29571,31.29522966
2020,BROOKLYN,11249,349,42421,822.7057354,105222,19.44216052
2020,QUEENS,11354,664,52351,1268.361636,45838,19.85582898
2020,QUEENS,11355,1317,81358,1618.771356,45527,23.91809162
2020,QUEENS,11356,92,24178,380.5112085,64324,8.821127144
2020,QUEENS,11357,58,40118,144.5735082,82858,7.903304011
2020,QUEENS,11358,208,36665,567.2985136,70777,10.40780005
2020,QUEENS,11360,16,18892,84.69193309,84356,6.620040998
2020,QUEENS,11361,111,28531,389.0505065,86545,8.321606154
2020,QUEENS,11362,13,18694,69.54102921,92212,4.86509157
2020,QUEENS,11363,27,6834,395.0834065,111094,9.355883411
2020,QUEENS,11364,145,35866,404.2826075,87135,7.381477818
2020,QUEENS,11365,110,43730,251.5435628,70102,11.7373583
2020,QUEENS,11366,120,14109,850.5209441,91795,9.237926451
2020,QUEENS,11367,222,40141,553.050497,64332,15.50610194
2020,QUEENS,11368,964,108661,887.1628275,56904,17.6969783
2020,QUEENS,11369,221,30693,720.0338839,61860,11.76040142
2020,QUEENS,11370,89,29366,303.0715794,67582,9.298013245
2020,QUEENS,11372,861,63107,1364.349438,61239,12.96871068
2020,QUEENS,11373,2316,96495,2400.124359,56835,13.01871701
2020,QUEENS,11374,468,43173,1084.01084,75266,12.78617937
2020,QUEENS,11375,871,72615,1199.476692,88117,8.957519456
2020,QUEENS,11377,1288,82021,1570.32955,59910,9.942723332
2020,QUEENS,11378,104,39033,266.4412164,82326,8.597811748
2020,QUEENS,11379,68,37780,179.9894124,89700,7.396209719
2020,QUEENS,11385,1664,105025,1584.38467,77044,10.7898508
2020,QUEENS,11411,53,20473,258.877546,104269,6.016496846
2020,QUEENS,11412,233,37987,613.3677311,85235,9.121591616
2020,QUEENS,11413,184,41810,440.0861038,91836,6.491255711
2020,QUEENS,11414,122,27672,440.8788667,75599,12.02749141
2020,QUEENS,11415,363,18464,1965.987868,75476,10.17964072
2020,QUEENS,11416,175,26087,670.8322153,73471,13.17316777
2020,QUEENS,11417,217,31156,696.4950571,79210,13.06402611
2020,QUEENS,11418,354,37666,939.8396432,73856,11.23555556
2020,QUEENS,11419,373,47955,777.8125326,79589,11.33872129
2020,QUEENS,11420,158,47266,334.2783396,85190,10.60420181
2020,QUEENS,11421,226,39654,569.9298936,77738,8.856512141
2020,QUEENS,11422,136,32786,414.8111999,93397,6.732991659
2020,QUEENS,11423,322,29532,1090.342679,70990,12.4618825
2020,QUEENS,11426,12,20222,59.34131144,102770,7.157626849
2020,QUEENS,11427,233,25096,928.4348103,81688,7.501613944
2020,QUEENS,11428,74,19830,373.1719617,77466,9.606273485
2020,QUEENS,11429,84,27808,302.0713464,82532,13.67724207
2020,QUEENS,11432,1109,64282,1725.21079,66270,12.27780734
2020,QUEENS,11433,239,36929,647.1878469,62453,14.77240732
2020,QUEENS,11434,502,62590,802.0450551,65845,10.9623431
2020,QUEENS,11435,473,59392,796.403556,69873,14.38632833
2020,QUEENS,11436,121,18955,638.3539963,72962,9.133915575
2020,QUEENS,11691,910,68454,1329.359862,52605,23.09691443
2020,QUEENS,11692,287,22394,1281.593284,53077,18.38552916
2020,QUEENS,11693,42,13029,322.3578172,52946,15.85412668
2020,QUEENS,11694,257,21258,1208.956628,87755,9.716197794
2021,MANHATTAN,10001,330,26966,1223.763257,101409,11.97365655
2021,MANHATTAN,10002,1277,76807,1662.608877,37093,28.28684112
2021,MANHATTAN,10003,1400,54447,2571.307877,137533,8.752630952
2021,MANHATTAN,10004,10,4795,208.5505735,216017,2.69758637
2021,MANHATTAN,10005,7,8637,81.04665972,197188,2.446675031
2021,MANHATTAN,10006,11,3894,282.4858757,200536,3.314917127
2021,MANHATTAN,10007,16,8194,195.2648279,250001,4.4978435
2021,MANHATTAN,10009,1256,60000,2093.333333,77551,23.18155541
2021,MANHATTAN,10010,428,33193,1289.428494,131635,10.08823348
2021,MANHATTAN,10011,589,51867,1135.596815,139343,9.308055575
2021,MANHATTAN,10012,528,22269,2371.009026,117581,11.28385155
2021,MANHATTAN,10013,326,29563,1102.729764,137572,10.54807848
2021,MANHATTAN,10014,522,29815,1750.796579,136559,7.226463104
2021,MANHATTAN,10016,661,56758,1164.593537,136431,7.889755936
2021,MANHATTAN,10017,190,15514,1224.700271,136112,7.148136416
2021,MANHATTAN,10018,182,8063,2257.224358,130457,8.577728776
2021,MANHATTAN,10019,745,43989,1693.605219,105538,12.43419308
2021,MANHATTAN,10021,324,42484,762.6400527,136060,5.804241742
2021,MANHATTAN,10022,384,33303,1153.049275,156255,7.25921067
2021,MANHATTAN,10023,437,65891,663.2165243,136109,9.069898534
2021,MANHATTAN,10024,1198,63916,1874.335065,153177,8.308736217
2021,MANHATTAN,10025,2515,96918,2594.977197,103440,14.0760056
2021,MANHATTAN,10026,1763,39401,4474.505723,65038,18.11893042
2021,MANHATTAN,10027,3121,65840,4740.279465,58435,21.6092732
2021,MANHATTAN,10028,527,47793,1102.671939,149789,4.905203711
2021,MANHATTAN,10029,1640,77661,2111.742058,33901,33.05777616
2021,MANHATTAN,10030,1597,31611,5052.038847,42834,27.465487
2021,MANHATTAN,10031,3767,61801,6095.370625,57180,23.5551623
2021,MANHATTAN,10032,3675,60529,6071.469874,55059,20.27870122
2021,MANHATTAN,10033,3395,60739,5589.489455,71630,16.15618308
2021,MANHATTAN,10034,3171,43365,7312.348668,63851,17.4586056
2021,MANHATTAN,10035,1122,37042,3028.994115,32555,35.67247387
2021,MANHATTAN,10036,569,30437,1869.435227,98177,12.82395957
2021,MANHATTAN,10037,950,19374,4903.478889,48782,24.19875025
2021,MANHATTAN,10038,137,23356,586.5730433,99924,19.12521441
2021,MANHATTAN,10039,1433,27234,5261.805097,50164,21.44588745
2021,MANHATTAN,10040,2563,45771,5599.615477,54700,19.93091746
2021,MANHATTAN,10044,32,12155,263.2661456,115294,6.064306064
2021,MANHATTAN,10065,366,31270,1170.450911,152335,6.448609732
2021,MANHATTAN,10069,5,5774,86.5950814,183178,16.86156167
2021,MANHATTAN,10075,265,23391,1132.914369,131372,12.82407786
2021,MANHATTAN,10128,607,58147,1043.905962,127919,9.008210964
2021,MANHATTAN,10162,0,2268,0,99300,0
2021,MANHATTAN,10280,14,8582,163.132137,178148,2.875475285
2021,MANHATTAN,10282,7,6419,109.0512541,250001,2.208446339
2021,STATEN ISLAND,10301,632,38736,1631.557208,78053,14.44646352
2021,STATEN ISLAND,10302,183,18144,1008.597884,73927,19.11738431
2021,STATEN ISLAND,10303,242,27469,880.9931195,69879,19.36330035
2021,STATEN ISLAND,10304,442,43849,1008.004744,64539,19.57783641
2021,STATEN ISLAND,10305,190,44531,426.669062,76833,9.606111842
2021,STATEN ISLAND,10306,222,55805,397.813816,88687,8.733602422
2021,STATEN ISLAND,10307,8,14828,53.95198274,117469,6.179556937
2021,STATEN ISLAND,10308,12,30353,39.5348071,116082,7.055682685
2021,STATEN ISLAND,10309,23,35832,64.18843492,107500,11.30922899
2021,STATEN ISLAND,10310,151,25976,581.3058208,96161,13.42888644
2021,STATEN ISLAND,10312,52,63935,81.33260343,100875,6.605859591
2021,STATEN ISLAND,10314,121,93736,129.0859435,94578,9.004754258
2021,BRONX,10451,2908,50118,5802.306557,33945,33.64001175
2021,BRONX,10452,5526,79838,6921.51607,33877,35.88761632
2021,BRONX,10453,4522,80393,5624.867837,34860,34.21619294
2021,BRONX,10454,1160,38908,2981.392002,21846,45.9218739
2021,BRONX,10455,1910,42781,4464.59877,30741,35.34103235
2021,BRONX,10456,3763,90314,4166.574396,31166,38.78239485
2021,BRONX,10457,7784,79443,9798.220107,38066,33.50985126
2021,BRONX,10458,5865,86757,6760.26142,38768,31.17909935
2021,BRONX,10459,2428,51303,4732.666706,36631,29.34739013
2021,BRONX,10460,3140,59979,5235.165641,31504,36.18249534
2021,BRONX,10461,1291,52756,2447.11502,61087,16.17585412
2021,BRONX,10462,5670,78470,7225.691347,59032,17.58871427
2021,BRONX,10463,3046,73256,4158.021186,63048,17.07890467
2021,BRONX,10464,41,4417,928.2318316,118972,6.384065373
2021,BRONX,10465,469,46205,1015.041662,80245,16.64918882
2021,BRONX,10466,2119,75767,2796.732087,62918,19.38114656
2021,BRONX,10467,5468,102209,5349.822423,42639,25.81532417
2021,BRONX,10468,5606,82480,6796.799224,40138,30.36157582
2021,BRONX,10469,1335,75290,1773.143844,70415,17.19181868
2021,BRONX,10470,979,16446,5952.815274,70107,10.66749844
2021,BRONX,10471,263,23387,1124.556377,96368,7.310038824
2021,BRONX,10472,2759,66720,4135.191847,36730,32.1128177
2021,BRONX,10473,1341,60296,2224.028128,48212,24.19729899
2021,BRONX,10474,524,11312,4632.248939,33157,39.35324747
2021,BRONX,10475,140,44509,314.5431261,56327,11.82287188
2021,QUEENS,11001,5,26818,18.6441942,132344,3.49907919
2021,QUEENS,11004,24,16426,146.1098259,100174,7.468879668
2021,QUEENS,11040,5,42634,11.72772904,140368,4.242922238
2021,QUEENS,11101,332,33789,982.5682915,98920,13.32783557
2021,QUEENS,11102,639,27876,2292.294447,95478,13.20016307
2021,QUEENS,11103,506,35912,1408.999777,82597,10.16435707
